"individual_id","repeat","fold","seed"
"103122",1,1,20260811
"1058137",1,1,20260811
"106657",1,1,20260811
"106844",1,1,20260811
"107017",1,1,20260811
"107103",1,1,20260811
"107131",1,1,20260811
"1101307",1,1,20260811
"126309",1,1,20260811
"12867",1,1,20260811
"1291472",1,1,20260811
"1298211",1,1,20260811
"1301796",1,1,20260811
"1301800",1,1,20260811
"1302311",1,1,20260811
"130562",1,1,20260811
"1306534",1,1,20260811
"13350",1,1,20260811
"13421",1,1,20260811
"1343502",1,1,20260811
"1393230",1,1,20260811
"1410845",1,1,20260811
"1477928",1,1,20260811
"1478078",1,1,20260811
"1504972",1,1,20260811
"15200",1,1,20260811
"1635819",1,1,20260811
"1642433",1,1,20260811
"1671946",1,1,20260811
"1673085",1,1,20260811
"170862",1,1,20260811
"1816016",1,1,20260811
"1982528",1,1,20260811
"2031157",1,1,20260811
"20585",1,1,20260811
"2163595",1,1,20260811
"217385",1,1,20260811
"217562",1,1,20260811
"217754",1,1,20260811
"217777",1,1,20260811
"218554",1,1,20260811
"2201664",1,1,20260811
"2430154",1,1,20260811
"2600794",1,1,20260811
"2621094",1,1,20260811
"292703",1,1,20260811
"295190",1,1,20260811
"295296",1,1,20260811
"31089",1,1,20260811
"342263",1,1,20260811
"342284",1,1,20260811
"355411",1,1,20260811
"358886",1,1,20260811
"367751",1,1,20260811
"369670",1,1,20260811
"369682",1,1,20260811
"371007",1,1,20260811
"376770",1,1,20260811
"377165",1,1,20260811
"3825285",1,1,20260811
"3826179",1,1,20260811
"3827759",1,1,20260811
"3830032",1,1,20260811
"3830128",1,1,20260811
"3830162",1,1,20260811
"3830167",1,1,20260811
"3830198",1,1,20260811
"3848815",1,1,20260811
"3863169",1,1,20260811
"3868700",1,1,20260811
"392884",1,1,20260811
"4059217",1,1,20260811
"4066585",1,1,20260811
"414940",1,1,20260811
"41542",1,1,20260811
"416396",1,1,20260811
"419525",1,1,20260811
"420213",1,1,20260811
"421018",1,1,20260811
"422212",1,1,20260811
"422381",1,1,20260811
"423348",1,1,20260811
"423671",1,1,20260811
"424700",1,1,20260811
"427650",1,1,20260811
"430048",1,1,20260811
"433924",1,1,20260811
"43789",1,1,20260811
"438273",1,1,20260811
"443483",1,1,20260811
"450770",1,1,20260811
"454059",1,1,20260811
"460142",1,1,20260811
"460693",1,1,20260811
"464211",1,1,20260811
"480914",1,1,20260811
"520702",1,1,20260811
"609448",1,1,20260811
"62114",1,1,20260811
"62587",1,1,20260811
"62603",1,1,20260811
"65038",1,1,20260811
"665788",1,1,20260811
"670602",1,1,20260811
"692876",1,1,20260811
"692904",1,1,20260811
"77128",1,1,20260811
"77331",1,1,20260811
"85637",1,1,20260811
"85741",1,1,20260811
"86490",1,1,20260811
"87507",1,1,20260811
"876108",1,1,20260811
"89491",1,1,20260811
"897095",1,1,20260811
"89762",1,1,20260811
"916978",1,1,20260811
"96458",1,1,20260811
"96619",1,1,20260811
"97120",1,1,20260811
"1047493",1,2,20260811
"108014",1,2,20260811
"1082612",1,2,20260811
"1127595",1,2,20260811
"126308",1,2,20260811
"1291739",1,2,20260811
"1293839",1,2,20260811
"1295755",1,2,20260811
"1301936",1,2,20260811
"13098",1,2,20260811
"1311265",1,2,20260811
"13302",1,2,20260811
"13469",1,2,20260811
"1360815",1,2,20260811
"1390242",1,2,20260811
"143023",1,2,20260811
"143989",1,2,20260811
"1507248",1,2,20260811
"1541045",1,2,20260811
"16122",1,2,20260811
"1635496",1,2,20260811
"1649008",1,2,20260811
"167864",1,2,20260811
"168060",1,2,20260811
"168924",1,2,20260811
"168928",1,2,20260811
"168939",1,2,20260811
"168979",1,2,20260811
"169164",1,2,20260811
"1766370",1,2,20260811
"1815932",1,2,20260811
"1815954",1,2,20260811
"19630",1,2,20260811
"20424",1,2,20260811
"217743",1,2,20260811
"2200733",1,2,20260811
"2201662",1,2,20260811
"220384",1,2,20260811
"222693",1,2,20260811
"2464236",1,2,20260811
"2484320",1,2,20260811
"2485050",1,2,20260811
"2485260",1,2,20260811
"2485890",1,2,20260811
"2487807",1,2,20260811
"2668072",1,2,20260811
"269000",1,2,20260811
"292907",1,2,20260811
"294705",1,2,20260811
"294897",1,2,20260811
"295026",1,2,20260811
"295146",1,2,20260811
"295261",1,2,20260811
"321131",1,2,20260811
"321397",1,2,20260811
"342294",1,2,20260811
"358060",1,2,20260811
"359354",1,2,20260811
"367789",1,2,20260811
"368747",1,2,20260811
"369673",1,2,20260811
"373045",1,2,20260811
"3825284",1,2,20260811
"3826177",1,2,20260811
"3826178",1,2,20260811
"3827748",1,2,20260811
"3830109",1,2,20260811
"3830165",1,2,20260811
"3848142",1,2,20260811
"3863186",1,2,20260811
"3865255",1,2,20260811
"3889",1,2,20260811
"391721",1,2,20260811
"392959",1,2,20260811
"39359",1,2,20260811
"4057141",1,2,20260811
"4057142",1,2,20260811
"4059227",1,2,20260811
"4062993",1,2,20260811
"4069736",1,2,20260811
"412450",1,2,20260811
"413235",1,2,20260811
"415066",1,2,20260811
"415173",1,2,20260811
"41761",1,2,20260811
"41804",1,2,20260811
"42066",1,2,20260811
"42083",1,2,20260811
"421747",1,2,20260811
"423133",1,2,20260811
"423200",1,2,20260811
"424702",1,2,20260811
"4248",1,2,20260811
"427258",1,2,20260811
"429247",1,2,20260811
"431742",1,2,20260811
"432043",1,2,20260811
"433740",1,2,20260811
"480143",1,2,20260811
"4937014",1,2,20260811
"62526",1,2,20260811
"653215",1,2,20260811
"67055",1,2,20260811
"675238",1,2,20260811
"67929",1,2,20260811
"770505",1,2,20260811
"775",1,2,20260811
"77587",1,2,20260811
"80506",1,2,20260811
"80836",1,2,20260811
"855587",1,2,20260811
"85587",1,2,20260811
"86394",1,2,20260811
"86954",1,2,20260811
"92207",1,2,20260811
"96413",1,2,20260811
"96501",1,2,20260811
"97127",1,2,20260811
"97487",1,2,20260811
"984151",1,2,20260811
"1064007",1,3,20260811
"1066175",1,3,20260811
"1081265",1,3,20260811
"1193118",1,3,20260811
"1195398",1,3,20260811
"126114",1,3,20260811
"1296234",1,3,20260811
"1298205",1,3,20260811
"1301802",1,3,20260811
"133128",1,3,20260811
"13396",1,3,20260811
"1342417",1,3,20260811
"13728",1,3,20260811
"13954",1,3,20260811
"1399978",1,3,20260811
"1402346",1,3,20260811
"143067",1,3,20260811
"1437563",1,3,20260811
"1477994",1,3,20260811
"1478148",1,3,20260811
"1491661",1,3,20260811
"1541043",1,3,20260811
"1563730",1,3,20260811
"16004",1,3,20260811
"1630947",1,3,20260811
"1630957",1,3,20260811
"1636586",1,3,20260811
"1637620",1,3,20260811
"1651705",1,3,20260811
"1671942",1,3,20260811
"1672866",1,3,20260811
"168154",1,3,20260811
"168614",1,3,20260811
"168912",1,3,20260811
"170744",1,3,20260811
"1796426",1,3,20260811
"1799716",1,3,20260811
"1838323",1,3,20260811
"20010",1,3,20260811
"20934",1,3,20260811
"2114149",1,3,20260811
"2117143",1,3,20260811
"2163607",1,3,20260811
"2166",1,3,20260811
"217451",1,3,20260811
"217726",1,3,20260811
"217748",1,3,20260811
"222490",1,3,20260811
"2460025",1,3,20260811
"2465",1,3,20260811
"2485043",1,3,20260811
"2485915",1,3,20260811
"2588634",1,3,20260811
"2621166",1,3,20260811
"27001",1,3,20260811
"292717",1,3,20260811
"294724",1,3,20260811
"294834",1,3,20260811
"294881",1,3,20260811
"295191",1,3,20260811
"295788",1,3,20260811
"30709",1,3,20260811
"342253",1,3,20260811
"345434",1,3,20260811
"3578468",1,3,20260811
"369564",1,3,20260811
"376804",1,3,20260811
"377276",1,3,20260811
"3822784",1,3,20260811
"3827762",1,3,20260811
"3827768",1,3,20260811
"3830034",1,3,20260811
"3830069",1,3,20260811
"3830184",1,3,20260811
"3830201",1,3,20260811
"3830206",1,3,20260811
"3849968",1,3,20260811
"3855090",1,3,20260811
"3855110",1,3,20260811
"3881",1,3,20260811
"390604",1,3,20260811
"391994",1,3,20260811
"392036",1,3,20260811
"393205",1,3,20260811
"393281",1,3,20260811
"393298",1,3,20260811
"4057151",1,3,20260811
"416019",1,3,20260811
"41709",1,3,20260811
"418273",1,3,20260811
"419528",1,3,20260811
"421749",1,3,20260811
"422983",1,3,20260811
"423409",1,3,20260811
"430154",1,3,20260811
"43154",1,3,20260811
"438163",1,3,20260811
"438323",1,3,20260811
"447647",1,3,20260811
"457982",1,3,20260811
"458835",1,3,20260811
"5131",1,3,20260811
"601577",1,3,20260811
"62221",1,3,20260811
"624629",1,3,20260811
"62627",1,3,20260811
"62633",1,3,20260811
"64873",1,3,20260811
"673831",1,3,20260811
"68460",1,3,20260811
"692864",1,3,20260811
"730613",1,3,20260811
"76718",1,3,20260811
"77230",1,3,20260811
"77246",1,3,20260811
"83123",1,3,20260811
"85676",1,3,20260811
"86162",1,3,20260811
"86230",1,3,20260811
"934019",1,3,20260811
"1066279",1,4,20260811
"1066569",1,4,20260811
"107066",1,4,20260811
"1093268",1,4,20260811
"1210458",1,4,20260811
"1295736",1,4,20260811
"1296766",1,4,20260811
"1298199",1,4,20260811
"1300939",1,4,20260811
"1390246",1,4,20260811
"14103",1,4,20260811
"143808",1,4,20260811
"1439621",1,4,20260811
"144880",1,4,20260811
"1500224",1,4,20260811
"1636202",1,4,20260811
"1637606",1,4,20260811
"1642486",1,4,20260811
"168524",1,4,20260811
"1700001",1,4,20260811
"1766332",1,4,20260811
"1766345",1,4,20260811
"1823515",1,4,20260811
"1831374",1,4,20260811
"19627",1,4,20260811
"2011449",1,4,20260811
"2099196",1,4,20260811
"214589",1,4,20260811
"2151597",1,4,20260811
"2151603",1,4,20260811
"2163596",1,4,20260811
"220399",1,4,20260811
"2464628",1,4,20260811
"2464631",1,4,20260811
"2484313",1,4,20260811
"2485913",1,4,20260811
"2485920",1,4,20260811
"2588696",1,4,20260811
"2601500",1,4,20260811
"2620837",1,4,20260811
"2668073",1,4,20260811
"294614",1,4,20260811
"294670",1,4,20260811
"294818",1,4,20260811
"294910",1,4,20260811
"294940",1,4,20260811
"295091",1,4,20260811
"305029",1,4,20260811
"321614",1,4,20260811
"321840",1,4,20260811
"323172",1,4,20260811
"341985",1,4,20260811
"342090",1,4,20260811
"343376",1,4,20260811
"353782",1,4,20260811
"355408",1,4,20260811
"3578390",1,4,20260811
"373101",1,4,20260811
"3827757",1,4,20260811
"3827770",1,4,20260811
"3827774",1,4,20260811
